CampID,Day,Time
2207,1,2020-07-20 04:31:52pm
2207,1,2020-07-20 04:31:54pm
2207,1,2020-07-20 04:33:17pm
2207,2,2020-07-20 04:33:21pm
2207,2,2020-07-20 04:33:29pm
2800,1,2020-07-20 04:33:35pm
2027,2,2020-07-20 04:33:41pm
2027,2,2020-07-20 04:33:48pm
2027,2,2020-07-20 04:33:50pm
2800,2,2020-07-20 04:33:55pm
3408,1,2020-07-20 04:34:12pm
2692,2,2020-07-20 04:34:12pm
2688,2,2020-07-20 04:34:38pm
2692,2,2020-07-20 04:34:45pm
3622,1,2020-07-20 04:35:06pm
3622,1,2020-07-20 04:35:08pm
2053,2,2020-07-20 04:35:35pm
5048,2,2020-07-20 04:36:26pm
3359,2,2020-07-20 04:36:43pm
2827,1,2020-07-20 04:37:33pm
2360,2,2020-07-20 04:38:43pm
3315,1,2020-07-20 04:38:46pm
3315,1,2020-07-20 04:38:47pm
2294,2,2020-07-20 04:39:19pm
0293810923812093812312,1,2020-07-20 04:39:32pm
5096,1,2020-07-20 04:39:43pm
3254,1,2020-07-20 04:39:45pm
5096,1,2020-07-20 04:39:51pm
2196,1,2020-07-20 04:39:57pm
2196,1,2020-07-20 04:40:01pm
3192,2,2020-07-20 04:40:02pm
2456,2,2020-07-20 04:40:07pm
3245,1,2020-07-20 04:40:33pm
3245,2,2020-07-20 04:40:42pm
2723,2,2020-07-20 04:41:53pm
3073,2,2020-07-20 04:42:07pm
3485,1,2020-07-20 04:42:16pm
2202,1,2020-07-20 04:42:38pm
2202,1,2020-07-20 04:42:44pm
2917,3,2020-07-20 04:43:03pm
3344,2,2020-07-20 04:43:28pm
2331,2,2020-07-20 04:43:39pm
2891,1,2020-07-20 04:44:08pm
3256,2,2020-07-20 04:44:20pm
2891,1,2020-07-20 04:44:25pm
2891,1,2020-07-20 04:44:42pm
2868,2,2020-07-20 04:44:55pm
2331,2,2020-07-20 04:44:57pm
2891,1,2020-07-20 04:45:00pm
2331,2,2020-07-20 04:45:01pm
2891,1,2020-07-20 04:45:13pm
2492,2,2020-07-20 04:45:27pm
5046,1,2020-07-20 04:45:29pm
2342,1,2020-07-20 04:45:30pm
2342,2,2020-07-20 04:45:34pm
2342,1,2020-07-20 04:45:40pm
2331,2,2020-07-20 04:45:42pm
2342,1,2020-07-20 04:45:45pm
5046,2,2020-07-20 04:45:53pm
2040,1,2020-07-20 04:46:23pm
2331,2,2020-07-20 04:46:31pm
2376,1,2020-07-20 04:46:32pm
2370,2,2020-07-20 04:46:32pm
2331,2,2020-07-20 04:46:42pm
2376,1,2020-07-20 04:46:48pm
2331,2,2020-07-20 04:47:06pm
2376,1,2020-07-20 04:47:12pm
2331,2,2020-07-20 04:48:27pm
3302,1,2020-07-20 04:48:35pm
2850,2,2020-07-20 04:49:13pm
2933,2,2020-07-20 04:49:23pm
2590,1,2020-07-20 04:49:35pm
3302,1,2020-07-20 04:49:42pm
3118,1,2020-07-20 04:49:57pm
2932,1,2020-07-20 04:50:15pm
3302,1,2020-07-20 04:50:46pm
2331,2,2020-07-20 04:50:57pm
2422,1,2020-07-20 04:51:21pm
2027,1,2020-07-20 04:51:32pm
2027,2,2020-07-20 04:51:39pm
1954,2,2020-07-20 04:51:51pm
3325,2,2020-07-20 04:52:26pm
3325,2,2020-07-20 04:52:39pm
3325,2,2020-07-20 04:52:53pm
3034,2,2020-07-20 04:53:08pm
2917,1,2020-07-20 04:53:17pm
2917,1,2020-07-20 04:53:17pm
3302,1,2020-07-20 04:53:30pm
2294,2,2020-07-20 04:53:56pm
2584,1,2020-07-20 04:54:04pm
2294,2,2020-07-20 04:54:06pm
1979,1,2020-07-20 04:54:11pm
2900,2,2020-07-20 04:55:43pm
2900,2,2020-07-20 04:55:48pm
3302,1,2020-07-20 04:56:10pm
9026,2,2020-07-20 04:56:48pm
3325,2,2020-07-20 04:56:55pm
3325,2,2020-07-20 04:57:10pm
5019,2,2020-07-20 04:57:19pm
